,Op Type,"Dimension(input, weight,output)",Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,C Effcy,Flops (GFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Roofline Throughput offchip (Tflops),Roofline Throughput onchip (Tflops),Compute Cycles,Memory Cycles,Sparsity,Total energy (mJ)
20,aten::_convolution,"([1, 32, 160, 160], [160, 32, 1, 1], [1, 160, 160, 160])",M,0.194918910687546,26.63891779396462,0.010934044444444445,10278.001777777778,1.0,0.262144,0.8192,0.00512,4.096,4.92032,23.975026014568158,23.975026014568158,23.975026014568158,2003.3769105691056,10278.001777777778,0.0,5239807.528697828
21,aten::_convolution,"([1, 160, 160, 160], [160, 1, 3, 3], [1, 160, 80, 80])",M,0.013167028480556916,1.7994938923427786,0.011380977777777777,10698.119111111111,1.0,0.018432,4.096,0.00144,1.024,5.12144,1.6195445031085007,1.6195445031085007,1.6195445031085007,140.86243902439023,10698.119111111111,0.0,2681403.764306914
22,aten::batch_norm,"([1, 160, 80, 80], [1, 160, 80, 80])",M,0.0036585365853658534,0.5,0.004551111111111111,4278.044444444445,1.0,0.002048,1.024,0.0,1.024,2.048,0.45,0.45,0.45,15.651382113821137,4278.044444444445,0.0,0.0
23,aten::_convolution,"([1, 160, 80, 80], [48, 160, 1, 1], [1, 48, 80, 80])",M,0.26861912978594416,36.7112810707457,0.0029752888888888887,2796.7715555555556,1.0,0.098304,1.024,0.00768,0.3072,1.33888,33.040152963671126,33.040152963671126,33.040152963671126,751.2663414634146,2796.7715555555556,0.0,2681403.7645409144
24,aten::batch_norm,"([1, 48, 80, 80], [1, 48, 80, 80])",M,0.0036585365853658543,0.5,0.0013653333333333332,1283.4133333333332,1.0,0.0006144,0.3072,0.0,0.3072,0.6144,0.45,0.45,0.45,4.695414634146342,1283.4133333333332,0.0,0.0
25,aten::_convolution,"([1, 48, 80, 80], [120, 48, 1, 1], [1, 120, 80, 80])",M,0.24953428930381666,34.10301953818828,0.002402133333333333,2258.005333333333,1.0,0.073728,0.3072,0.00576,0.768,1.08096,30.69271758436945,30.69271758436945,30.69271758436945,563.4497560975609,2258.005333333333,0.0,2681403.7644689144
26,aten::_convolution,"([1, 120, 80, 80], [120, 1, 3, 3], [1, 120, 80, 80])",M,0.03290369385854839,4.49683816066828,0.0034157333333333334,3210.7893333333336,1.0,0.013824,0.768,0.00108,0.768,1.53708,4.047154344601451,4.047154344601451,4.047154344601451,105.64682926829268,3210.7893333333336,0.0,2681403.764293414
27,aten::batch_norm,"([1, 120, 80, 80], [1, 120, 80, 80])",M,0.0036585365853658534,0.5,0.0034133333333333333,3208.5333333333333,1.0,0.001536,0.768,0.0,0.768,1.536,0.45,0.45,0.45,11.738536585365853,3208.5333333333333,0.0,0.0
28,aten::_convolution,"([1, 120, 80, 80], [48, 120, 1, 1], [1, 48, 80, 80])",M,0.24953428930381666,34.10301953818828,0.002402133333333333,2258.005333333333,1.0,0.073728,0.768,0.00576,0.3072,1.08096,30.69271758436945,30.69271758436945,30.69271758436945,563.4497560975609,2258.005333333333,0.0,2681403.7644689144
29,aten::layer_norm,"([1, 80, 80, 48], [1, 80, 80, 48])",M,0.0036585365853658543,0.5,0.0013653333333333332,1283.4133333333332,1.0,0.0006144,0.3072,0.0,0.3072,0.6144,0.45,0.45,0.45,4.695414634146342,1283.4133333333332,0.0,0.0
30,aten::_convolution,"([1, 48, 80, 80], [288, 48, 1, 1], [1, 288, 80, 80])",M,0.2991223666672437,40.88005677785664,0.004809386666666667,4520.823466666668,1.0,0.1769472,0.3072,0.013824,1.8432,2.164224,36.79205110007097,36.79205110007097,36.79205110007097,1352.2794146341464,4520.823466666668,0.0,2681403.7647713143
31,aten::_convolution,"([1, 288, 80, 80], [288, 1, 5, 5], [1, 288, 40, 40])",M,0.036471392751310686,4.984423676012461,0.005136,4827.84,1.0,0.02304,1.8432,0.0072,0.4608,2.3112,4.485981308411215,4.485981308411215,4.485981308411215,176.0780487804878,4827.84,0.0,1402201.882396457
32,aten::batch_norm,"([1, 288, 40, 40], [1, 288, 40, 40])",M,0.0036585365853658534,0.5,0.002048,1925.1200000000001,1.0,0.0009216,0.4608,0.0,0.4608,0.9216,0.45,0.45,0.45,7.043121951219512,1925.1200000000001,0.0,0.0
33,aten::_convolution,"([1, 288, 40, 40], [80, 288, 1, 1], [1, 80, 40, 40])",M,0.44086131237881415,60.2510460251046,0.0013596444444444445,1278.0657777777778,1.0,0.073728,0.4608,0.02304,0.128,0.61184,54.22594142259414,54.22594142259414,54.22594142259414,563.4497560975609,1278.0657777777778,0.0,1402201.882990457
34,aten::layer_norm,"([1, 40, 40, 80], [1, 40, 40, 80])",M,0.0036585365853658534,0.5,0.0005688888888888889,534.7555555555556,1.0,0.000256,0.128,0.0,0.128,0.256,0.45,0.45,0.45,1.9564227642276422,534.7555555555556,0.0,0.0
35,aten::mul,"(1, 1, 1)",M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-09,1e-06,1e-06,1e-06,3e-06,0.3,0.3,0.3,1.5284552845528455e-05,0.006266666666666667,0.0,3.75e-08
36,aten::mul,"(1, 1, 1)",M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-09,1e-06,1e-06,1e-06,3e-06,0.3,0.3,0.3,1.5284552845528455e-05,0.006266666666666667,0.0,3.75e-08
37,aten::mul,"(1, 1, 1)",M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-09,1e-06,1e-06,1e-06,3e-06,0.3,0.3,0.3,1.5284552845528455e-05,0.006266666666666667,0.0,3.75e-08
